,instance name,ICBS time,MAPF-encodings time
0,inst-21-1696394065.param,5.0,0.115
1,inst-21-1878579642.param,5.0,0.17
2,inst-21-342872648.param,5.0,0.057
3,inst-21-488424375.param,1.45,0.058
4,inst-21-530916865.param,1.01,0.055
5,inst-21-964224853.param,1.85,0.227
6,inst-22-1878579642.param,3.2,0.106
7,inst-22-342872648.param,5.0,0.145
8,inst-23-1878579642.param,5.0,1.085
9,inst-23-342872648.param,5.0,1.068
10,inst-26-1878579642.param,5.0,1.017
11,inst-26-342872648.param,5.0,0.947
12,inst-31-1878579642.param,5.0,0.134
13,inst-31-342872648.param,5.0,0.111
14,inst-32-342872648.param,5.0,2.437
15,inst-33-342872648.param,5.0,1.186
16,inst-34-1878579642.param,5.0,3.599
17,inst-38-1878579642.param,3.73,0.07
18,inst-38-342872648.param,5.0,0.072
19,inst-40-444441003.param,5.0,2.212
20,inst-43-344749774.param,5.0,0.085
21,inst-43-488424375.param,2.12,0.081
22,inst-44-1362504592.param,5.0,0.116
23,inst-44-1696394065.param,1.5,0.161
24,inst-44-1878579642.param,5.0,3.268
25,inst-44-1986739145.param,1.6,0.052
26,inst-44-342872648.param,2.92,0.264
27,inst-44-344749774.param,5.0,3.44
28,inst-44-444441003.param,1.9,1.34
29,inst-44-488424375.param,2.7,0.208
30,inst-44-530916865.param,5.0,1.311
31,inst-44-964224853.param,2.93,0.052
32,inst-47-344749774.param,5.0,2.153
33,inst-51-342872648.param,4.98,0.357
34,inst-51-344749774.param,5.0,0.423
35,inst-53-1199881161.param,5.0,4.619
36,inst-54-1199881161.param,3.72,0.057
37,inst-54-488424375.param,2.02,0.181
38,inst-54-964224853.param,2.84,0.137
39,inst-55-1199881161.param,5.0,1.697
40,inst-56-1199881161.param,5.0,3.09
41,inst-56-342872648.param,5.0,4.643
42,inst-56-530916865.param,5.0,4.027
43,inst-57-1199881161.param,5.0,1.103
44,inst-58-1199881161.param,5.0,4.763
45,inst-59-1199881161.param,5.0,4.404
46,inst-59-342872648.param,5.0,3.103
47,inst-59-488424375.param,3.39,0.118
48,inst-59-530916865.param,1.32,0.056
49,inst-59-964224853.param,1.02,0.012
50,inst-60-1362504592.param,1.33,0.218
51,inst-60-1696394065.param,1.61,0.544
52,inst-60-1986739145.param,1.15,0.289
53,inst-60-444441003.param,1.2,0.127
54,inst-60-488424375.param,5.0,0.497
55,inst-60-964224853.param,2.58,0.177
56,inst-61-1696394065.param,5.0,0.12
57,inst-61-1986739145.param,4.65,0.062
58,inst-61-342872648.param,5.0,0.175
59,inst-61-530916865.param,2.78,0.067
60,inst-61-964224853.param,5.0,1.044
61,inst-63-1199881161.param,5.0,1.944
62,inst-63-488424375.param,5.0,3.756
63,inst-63-964224853.param,5.0,0.117
64,inst-65-344749774.param,5.0,0.106
65,inst-65-488424375.param,5.0,3.098
66,inst-65-640268330.param,2.55,2.854
67,inst-66-1199881161.param,1.92,0.074
68,inst-66-488424375.param,3.44,0.104
69,inst-67-1199881161.param,5.0,0.124
70,inst-67-488424375.param,5.0,3.296
71,inst-68-1199881161.param,5.0,0.066
72,inst-68-488424375.param,5.0,3.33
73,inst-69-1696394065.param,5.0,0.285
74,inst-69-964224853.param,5.0,0.419
75,inst-70-1199881161.param,5.0,0.963
76,inst-71-1199881161.param,5.0,0.137
77,inst-71-1362504592.param,2.72,0.431
78,inst-71-1696394065.param,2.49,0.177
79,inst-71-1878579642.param,1.34,0.186
80,inst-71-1910065963.param,5.0,0.054
81,inst-71-1986739145.param,1.06,0.052
82,inst-71-342872648.param,2.19,0.052
83,inst-71-344749774.param,5.0,0.9
84,inst-71-444441003.param,5.0,0.395
85,inst-71-488424375.param,3.08,0.215
86,inst-71-530916865.param,3.87,0.212
87,inst-71-640268330.param,3.1,0.165
88,inst-71-964224853.param,4.42,1.066
89,inst-8-1696394065.param,5.0,1.406
90,inst-9-1696394065.param,3.92,0.498
91,inst-9-1986739145.param,3.2,0.718
92,inst-10-1986739145.param,0.33,5.0
93,inst-11-1696394065.param,0.1,2.792
94,inst-11-1986739145.param,0.17,1.922
95,inst-21-342872648.param(1),0.15,1.956
96,inst-21-964224853.param(1),0.05,1.736
97,inst-24-342872648.param,0.21,5.0
98,inst-24-964224853.param,0.13,5.0
99,inst-46-1986739145.param,0.72,1.852
100,inst-48-1696394065.param,0.03,1.039
101,inst-48-1986739145.param,0.07,1.056
102,inst-48-530916865.param,0.03,1.116
103,inst-52-444441003.param,0.01,1.178
104,inst-54-1986739145.param,2.35,5.0
105,inst-57-1986739145.param,0.08,5.0
106,inst-60-1199881161.param,0.39,5.0
107,inst-60-1878579642.param,0.33,5.0
108,inst-6-1696394065.param,0.04,5.0
109,inst-6-1986739145.param,0.05,4.579
110,inst-63-1199881161.param(1),0.13,5.0
111,inst-6-444441003.param,0.1,4.672
112,inst-6-530916865.param,0.04,3.645
113,inst-68-1199881161.param(1),0.32,4.482
114,inst-68-1878579642.param,0.14,4.218
115,inst-6-964224853.param,0.09,4.278
116,inst-72-1199881161.param,0.17,5.0
117,inst-72-1878579642.param,0.1,5.0
118,inst-74-1199881161.param,2.2,5.0
119,inst-79-344749774.param,0.11,3.006
120,inst-8-1986739145.param,0.12,2.315
