,instance name,ICBS time,MAPF-encodings time
0,inst-11-1696394065.param,5.0,0.132
1,inst-11-1986739145.param,5.0,0.341
2,inst-12-1986739145.param,2.33,0.3
3,inst-12-444441003.param,4.97,0.066
4,inst-12-964224853.param,1.81,0.311
5,inst-24-1199881161.param,2.71,0.066
6,inst-24-342872648.param,5.0,0.843
7,inst-24-444441003.param,2.36,0.078
8,inst-24-488424375.param,4.17,0.073
9,inst-24-530916865.param,1.02,0.157
10,inst-24-964224853.param,3.14,0.234
11,inst-25-1878579642.param,5.0,0.458
12,inst-29-1878579642.param,5.0,4.233
13,inst-29-342872648.param,5.0,0.501
14,inst-30-1878579642.param,5.0,4.032
15,inst-31-1878579642.param,5.0,2.499
16,inst-31-342872648.param,5.0,1.111
17,inst-3-1986739145.param,5.0,0.332
18,inst-32-1878579642.param,1.07,0.053
19,inst-32-342872648.param,5.0,0.214
20,inst-32-488424375.param,5.0,0.053
21,inst-32-530916865.param,5.0,0.119
22,inst-32-964224853.param,5.0,1.627
23,inst-33-1986739145.param,3.05,3.305
24,inst-33-344749774.param,3.09,0.684
25,inst-33-964224853.param,3.16,1.082
26,inst-41-530916865.param,5.0,2.608
27,inst-42-1696394065.param,2.59,0.228
28,inst-42-1986739145.param,5.0,0.119
29,inst-42-342872648.param,1.59,0.132
30,inst-42-530916865.param,1.59,0.056
31,inst-43-530916865.param,2.22,0.059
32,inst-45-342872648.param,3.05,0.056
33,inst-45-488424375.param,3.46,0.124
34,inst-45-530916865.param,5.0,0.151
35,inst-46-488424375.param,1.61,0.096
36,inst-46-530916865.param,5.0,1.038
37,inst-47-488424375.param,5.0,0.085
38,inst-47-530916865.param,2.55,0.068
39,inst-48-488424375.param,1.63,0.122
40,inst-48-530916865.param,3.15,0.078
41,inst-49-488424375.param,4.37,0.148
42,inst-49-530916865.param,1.18,0.062
43,inst-51-1878579642.param,1.93,0.053
44,inst-51-342872648.param,4.33,0.11
45,inst-51-344749774.param,5.0,0.11
46,inst-51-444441003.param,1.71,0.301
47,inst-51-488424375.param,5.0,2.899
48,inst-51-964224853.param,2.41,0.21
49,inst-52-1696394065.param,4.08,0.062
50,inst-54-1199881161.param,5.0,0.609
51,inst-54-1362504592.param,5.0,3.909
52,inst-54-1986739145.param,5.0,4.001
53,inst-54-342872648.param,2.22,0.167
54,inst-54-344749774.param,5.0,1.375
55,inst-54-444441003.param,2.0,0.24
56,inst-54-488424375.param,5.0,0.522
57,inst-54-530916865.param,4.34,1.63
58,inst-55-488424375.param,5.0,3.999
59,inst-55-530916865.param,5.0,0.235
60,inst-57-1199881161.param,5.0,2.468
61,inst-57-964224853.param,5.0,0.119
62,inst-58-1362504592.param,5.0,2.405
63,inst-58-1696394065.param,1.15,0.053
64,inst-58-1878579642.param,2.93,0.176
65,inst-58-1910065963.param,3.07,0.051
66,inst-58-342872648.param,1.02,0.052
