,instance name,ICBS time,MAPF-encodings time
0,inst-11-1696394065.param,3.84,0.105
1,inst-11-1986739145.param,18.38,0.267
2,inst-12-1199881161.param,18.27,0.333
3,inst-12-1878579642.param,1.45,0.179
4,inst-12-1986739145.param,3.11,0.226
5,inst-12-444441003.param,8.43,0.059
6,inst-12-530916865.param,1.93,0.223
7,inst-12-964224853.param,5.0,0.226
8,inst-24-1878579642.param,5.0,10.889
9,inst-24-342872648.param,5.0,29.428
10,inst-25-1878579642.param,5.63,0.299
11,inst-28-1878579642.param,6.67,2.288
12,inst-28-342872648.param,5.0,12.434
13,inst-28-964224853.param,5.0,9.494
14,inst-31-1878579642.param,5.0,23.201
15,inst-31-342872648.param,5.48,0.271
16,inst-3-1696394065.param,5.0,15.128
17,inst-3-1986739145.param,17.48,0.357
18,inst-32-1878579642.param,1.58,0.053
19,inst-32-342872648.param,24.26,0.216
20,inst-32-488424375.param,3.82,0.053
21,inst-32-530916865.param,5.0,0.11
22,inst-32-964224853.param,5.0,1.255
23,inst-33-444441003.param,3.2,0.215
24,inst-33-488424375.param,1.27,0.105
25,inst-36-1878579642.param,5.0,9.706
26,inst-36-342872648.param,5.0,14.582
27,inst-37-342872648.param,10.4,0.188
28,inst-39-1986739145.param,5.0,18.397
29,inst-39-530916865.param,5.0,19.032
30,inst-40-530916865.param,5.0,27.712
31,inst-41-1986739145.param,6.26,0.142
32,inst-41-530916865.param,6.8,2.47
33,inst-42-1878579642.param,1.22,0.102
34,inst-43-1986739145.param,1.19,0.065
35,inst-43-530916865.param,2.41,0.059
36,inst-45-530916865.param,1.34,0.103
37,inst-46-530916865.param,7.09,0.939
38,inst-47-1986739145.param,5.31,0.057
39,inst-47-530916865.param,2.45,0.068
40,inst-48-1986739145.param,5.0,0.567
41,inst-48-530916865.param,2.45,0.078
42,inst-49-530916865.param,1.08,0.061
43,inst-51-1199881161.param,1.63,0.109
44,inst-51-1362504592.param,1.1,0.053
45,inst-51-1878579642.param,1.61,0.053
46,inst-51-1986739145.param,13.13,0.054
47,inst-51-342872648.param,21.64,0.11
48,inst-51-344749774.param,2.1,0.11
49,inst-51-444441003.param,1.01,0.212
50,inst-51-488424375.param,5.0,3.473
51,inst-51-964224853.param,2.72,0.217
52,inst-54-1986739145.param,2.35,0.074
53,inst-54-530916865.param,1.49,0.222
54,inst-54-964224853.param,1.71,0.072
55,inst-55-1199881161.param,5.32,0.239
56,inst-55-1696394065.param,24.33,0.113
57,inst-56-1696394065.param,4.05,0.11
58,inst-57-1199881161.param,5.0,0.261
59,inst-57-530916865.param,5.0,0.456
60,inst-57-964224853.param,1.67,0.054
61,inst-58-1199881161.param,5.0,18.497
62,inst-58-964224853.param,5.0,8.925
63,inst-60-1362504592.param,5.0,0.113
64,inst-60-1696394065.param,4.21,0.199
65,inst-60-1878579642.param,5.0,0.054
66,inst-60-1986739145.param,5.0,0.115
67,inst-60-342872648.param,5.0,0.296
68,inst-60-344749774.param,2.18,0.054
69,inst-60-444441003.param,1.78,0.113
70,inst-60-530916865.param,2.35,0.113
71,inst-60-964224853.param,5.0,0.217
72,inst-61-1696394065.param,1.1,0.051
73,inst-62-1199881161.param,4.14,0.111
74,inst-62-488424375.param,5.0,1.084
75,inst-62-964224853.param,5.0,1.106
76,inst-63-1199881161.param,16.01,3.467
77,inst-63-1362504592.param,5.0,1.624
78,inst-63-1696394065.param,1.21,0.051
79,inst-63-1878579642.param,7.81,0.162
80,inst-63-1986739145.param,5.0,2.697
81,inst-63-342872648.param,5.0,0.16
82,inst-63-344749774.param,6.52,3.63
83,inst-63-444441003.param,9.98,5.305
84,inst-63-488424375.param,5.0,5.059
85,inst-63-530916865.param,5.0,2.133
86,inst-63-964224853.param,8.59,0.589
87,inst-64-530916865.param,5.0,0.101
88,inst-64-964224853.param,5.0,0.154
89,inst-65-1878579642.param,1.97,0.179
90,inst-65-1986739145.param,3.25,0.299
91,inst-65-344749774.param,5.0,0.178
92,inst-65-530916865.param,1.33,0.111
93,inst-65-964224853.param,1.08,0.109
94,inst-68-488424375.param,5.0,1.878
95,inst-68-530916865.param,12.91,0.107
96,inst-69-1878579642.param,3.48,0.149
