,instance name,ICBS time,MAPF-encodings time
0,inst-10-799324880.param,5.0,28.309
1,inst-11-1361714622.param,12.62,0.256
2,inst-1-1361714622.param,17.69,0.347
3,inst-11-799324880.param,5.0,2.131
4,inst-15-799324880.param,1.2,0.177
5,inst-17-1361714622.param,5.0,13.247
6,inst-17-799324880.param,5.0,7.653
7,inst-1-799324880.param,25.8,0.165
8,inst-19-1113505286.param,3.61,0.062
9,inst-19-1155525382.param,9.24,0.069
10,inst-19-1557483814.param,11.11,0.073
11,inst-19-1768974848.param,6.83,0.182
12,inst-19-2062904689.param,1.92,0.073
13,inst-19-396479326.param,11.76,0.1
14,inst-19-799324880.param,11.23,0.14
15,inst-22-1361714622.param,5.0,12.052
16,inst-22-799324880.param,5.0,1.397
17,inst-23-1361714622.param,17.6,0.43
18,inst-23-799324880.param,8.52,0.24
19,inst-29-1113505286.param,5.0,12.074
20,inst-29-1155525382.param,5.0,20.476
21,inst-29-1259217442.param,5.0,20.669
22,inst-29-1361714622.param,5.0,6.255
23,inst-29-1557483814.param,5.0,8.169
24,inst-29-1768974848.param,3.07,3.143
25,inst-29-2062904689.param,5.0,27.511
26,inst-29-396479326.param,5.0,14.626
27,inst-29-586273567.param,1.76,0.861
28,inst-31-1155525382.param,4.52,0.066
29,inst-3-1361714622.param,29.91,0.079
30,inst-31-396479326.param,1.08,0.076
31,inst-34-396479326.param,5.0,1.659
32,inst-34-799324880.param,4.13,0.072
33,inst-35-1155525382.param,6.55,1.735
34,inst-35-799324880.param,6.71,0.117
35,inst-36-1155525382.param,5.0,6.024
36,inst-36-396479326.param,3.93,0.877
37,inst-36-799324880.param,5.0,1.246
38,inst-3-799324880.param,28.83,0.077
39,inst-39-1062464252.param,5.7,0.052
40,inst-39-1155525382.param,14.6,0.111
41,inst-39-1259217442.param,5.0,2.855
42,inst-39-1361714622.param,1.3,0.106
43,inst-39-1557483814.param,2.65,0.11
44,inst-39-1768974848.param,8.21,0.109
45,inst-39-2062904689.param,5.0,0.969
46,inst-39-396479326.param,5.0,2.32
47,inst-39-586273567.param,25.49,0.054
48,inst-39-799324880.param,15.35,0.054
49,inst-40-1155525382.param,5.0,23.673
50,inst-40-396479326.param,5.0,8.02
51,inst-40-799324880.param,5.0,7.409
52,inst-41-1155525382.param,9.33,5.15
53,inst-41-799324880.param,26.43,4.246
54,inst-45-1155525382.param,5.83,2.272
55,inst-45-799324880.param,23.47,1.32
56,inst-47-2062904689.param,1.43,0.057
57,inst-4-799324880.param,20.58,0.085
58,inst-49-1155525382.param,5.0,0.161
59,inst-49-799324880.param,5.0,0.07
60,inst-50-1155525382.param,5.0,2.072
61,inst-50-799324880.param,6.72,3.532
62,inst-5-1361714622.param,5.0,4.67
63,inst-52-1155525382.param,3.54,0.056
64,inst-52-1361714622.param,10.6,0.055
65,inst-52-1557483814.param,4.98,0.06
66,inst-52-799324880.param,2.39,0.056
67,inst-53-1557483814.param,1.7,0.051
68,inst-54-1155525382.param,15.56,0.322
69,inst-54-1557483814.param,1.06,0.053
70,inst-54-2062904689.param,10.57,0.254
71,inst-54-799324880.param,20.01,2.141
72,inst-55-1113505286.param,5.0,4.585
73,inst-55-1155525382.param,5.0,12.103
74,inst-55-1361714622.param,1.33,2.285
75,inst-55-1557483814.param,5.89,4.334
76,inst-55-1768974848.param,3.39,3.245
